index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
879	15	0.5	40	100	200
880	15	0.5	40	100	400
881	15	0.5	40	100	800
882	15	0.5	100	2	200
883	15	0.5	100	2	400
884	15	0.5	100	2	800
885	15	0.5	100	5	200
886	15	0.5	100	5	400
887	15	0.5	100	5	800
888	15	0.5	100	10	200
889	15	0.5	100	10	400
890	15	0.5	100	10	800
891	15	0.5	100	20	200
892	15	0.5	100	20	400
893	15	0.5	100	20	800
894	15	0.5	100	40	200
895	15	0.5	100	40	400
896	15	0.5	100	40	800
897	15	0.5	100	100	200
898	15	0.5	100	100	400
899	15	0.5	100	100	800
900	15	0.75	1	2	200
901	15	0.75	1	2	400
902	15	0.75	1	2	800
903	15	0.75	1	5	200
904	15	0.75	1	5	400
905	15	0.75	1	5	800
906	15	0.75	1	10	200
907	15	0.75	1	10	400
908	15	0.75	1	10	800
909	15	0.75	1	20	200
910	15	0.75	1	20	400
911	15	0.75	1	20	800
912	15	0.75	1	40	200
913	15	0.75	1	40	400
914	15	0.75	1	40	800
915	15	0.75	1	100	200
916	15	0.75	1	100	400
917	15	0.75	1	100	800
918	15	0.75	10	2	200
919	15	0.75	10	2	400
920	15	0.75	10	2	800
921	15	0.75	10	5	200
922	15	0.75	10	5	400
923	15	0.75	10	5	800
924	15	0.75	10	10	200
925	15	0.75	10	10	400
926	15	0.75	10	10	800
927	15	0.75	10	20	200
928	15	0.75	10	20	400
929	15	0.75	10	20	800
930	15	0.75	10	40	200
931	15	0.75	10	40	400
932	15	0.75	10	40	800
933	15	0.75	10	100	200
934	15	0.75	10	100	400
935	15	0.75	10	100	800
936	15	0.75	20	2	200
937	15	0.75	20	2	400
938	15	0.75	20	2	800
939	15	0.75	20	5	200
940	15	0.75	20	5	400
941	15	0.75	20	5	800
942	15	0.75	20	10	200
943	15	0.75	20	10	400
944	15	0.75	20	10	800
945	15	0.75	20	20	200
946	15	0.75	20	20	400
947	15	0.75	20	20	800
948	15	0.75	20	40	200
949	15	0.75	20	40	400
950	15	0.75	20	40	800
951	15	0.75	20	100	200
952	15	0.75	20	100	400
953	15	0.75	20	100	800
954	15	0.75	40	2	200
955	15	0.75	40	2	400
956	15	0.75	40	2	800
957	15	0.75	40	5	200
958	15	0.75	40	5	400
959	15	0.75	40	5	800
960	15	0.75	40	10	200
961	15	0.75	40	10	400
962	15	0.75	40	10	800
963	15	0.75	40	20	200
964	15	0.75	40	20	400
965	15	0.75	40	20	800
966	15	0.75	40	40	200
967	15	0.75	40	40	400
968	15	0.75	40	40	800
969	15	0.75	40	100	200
970	15	0.75	40	100	400
971	15	0.75	40	100	800
972	15	0.75	100	2	200
973	15	0.75	100	2	400
974	15	0.75	100	2	800
975	15	0.75	100	5	200
976	15	0.75	100	5	400
977	15	0.75	100	5	800
978	15	0.75	100	10	200
979	15	0.75	100	10	400
980	15	0.75	100	10	800
981	15	0.75	100	20	200
982	15	0.75	100	20	400
983	15	0.75	100	20	800
984	15	0.75	100	40	200
